round_epochs,val_loss,val_binary_accuracy,loss,binary_accuracy,dropout,first_neuron,activation,optimizer,epochs,batch_size
6,0.5530262589454651,0.8999999761581421,9.111293604096967e-05,1.0,0.25,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.32290518283844,0.8999999761581421,1.1039063500506536,0.9285714285714286,0.25,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.21095286309719086,0.9666666388511658,9.166945301330997e-06,1.0,0.25,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,2.933187961578369,0.800000011920929,0.8957584040505545,0.9142857142857143,0.75,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.9688106775283813,0.8999999761581421,0.029642712218420846,1.0,0,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.4131055772304535,0.9333333373069763,1.1387418840895096,0.9285714285714286,0.5,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.4323030710220337,0.8999999761581421,0.45549680846078056,0.9714285714285714,0.75,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,1.0637434720993042,0.9333333373069763,0.45549726063282714,0.9714285714285714,0.25,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.8371555209159851,0.8999999761581421,0.009050145242800057,1.0,0.5,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.9898021817207336,0.9333333373069763,1.1387418565672536,0.9285714285714286,0.25,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.6700167655944824,0.800000011920929,9.825852344087187e-05,1.0,0.75,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.41218847036361694,0.8999999761581421,1.0403771215448745e-05,1.0,0,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.0153928995132446,0.9333333373069763,0.8591696696904444,0.9,0.25,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.48822858929634094,0.8999999761581421,2.763589587776291e-07,1.0,0,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.310892939567566,0.800000011920929,0.4564361941435046,0.9714285714285714,0.75,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
